,T1,T2,C3,C4
151192,0.2883602753218586,0.20509858392156802,0.21492771975517022,0.2071463590277657
151195,0.30383634414859234,0.2781589506585852,0.2561391504790632,0.274550898542509
151198,0.12703105107813822,0.11291096983679273,0.14402263558790931,0.15551701329062917
151199,0.2350804782894083,0.3137501278983712,0.2439880272466022,0.18284538750689144
151201,0.1530735271236434,0.16852031655216865,0.18512611355656877,0.15920794749458927
151203,0.1544193007971087,0.17709051644712814,0.14206510006619788,0.1862170578912275
151205,0.060019201289539706,0.07845889439189135,0.15148834873607567,0.1305900182479543
151206,0.22793501994815296,0.22015636926797294,0.21280259788994205,0.22028306459110852
151207,0.20076130554564672,0.23900343096995763,0.1917009815763122,0.15715656995501082
151208,0.12040664374945602,0.1476957378582197,0.11270759620404823,0.07230262527652424
151209,0.13455622293473027,0.10560138633212598,0.1296667494309641,0.18739717773170939
151210,0.2694430748464446,0.22094329358738488,0.16199156047883004,0.18314819858152032
151211,0.31050154054105816,0.25264501899932124,0.15706236456635192,0.17935629301850972
151212,0.1169924762973768,0.09908261969023059,0.11009371667225429,0.15300946883530575
151213,0.7593101992370326,0.835243597595847,0.4936736443693411,0.43932182658280783
151215,0.25235859274352657,0.2794955264323945,0.20761838047720005,0.2293219961404748
151217,0.295917701783391,0.3158233512698136,0.1487518078143702,0.09768008222568908
151220,0.17838586642596954,0.16830209257533307,0.13598141656699514,0.2290454816086154
151222,0.3347585614832732,0.33934708977858624,0.14469659709122504,0.1226623683627008
151223,0.18961193147542216,0.23936562191691146,0.12414809422633892,0.09968223635821918
151225,0.18299139345302184,0.18888622276953143,0.1237424631811245,0.14337088310300788
151227,0.13481358466236412,0.0840993009303878,0.0754125568025511,0.048177736162065714
151229,0.5539927701626175,0.5290078170724577,0.23378270672923973,0.22724750149862666
151230,0.4590239064940356,0.4216569213022218,0.30730016959274453,0.2416781319671274
151235,0.3686791455314248,0.36643139377986494,0.3165783691041659,0.36578982470698423
151237,0.02203552856344184,0.06171856777373322,0.08345561204328908,0.08448309768261923
151238,0.17894543132714857,0.19329544882598693,0.2059960752744828,0.224371516266816
151239,0.16610435703368065,0.11944566110541875,0.10376370116401544,0.07936995023951737
151241,0.10407182142040634,0.13194265511177336,0.15210438688458522,0.1248327318069087
151242,0.29432100465234945,0.31704884607456174,0.38915998050379846,0.4339985110631102
151243,0.14340644927091406,0.16954595404632872,0.18232655556533783,0.16604274825841175
151245,0.23697476570504422,0.2273448438077379,0.2577218060009278,0.2685260047414485
151248,0.27298995218273125,0.2342479769355687,0.12775335975069266,0.12247773066134356
151249,0.5122165363507399,0.537947463165117,0.3598898965610278,0.40672858758071956
151250,0.08792885587203778,0.12068733220484745,0.07769781936055838,0.055705503405961546
151251,0.17980237187667616,0.16427215238051893,0.08989942319876601,0.08519733610359344
151252,0.042803542841794856,0.03695642022199165,0.039274383660531674,0.04489178296566916
151253,0.24569882785770192,0.1733882544619441,0.16758333997280406,0.16851351736081804
151254,0.20409318694378553,0.18421327575529994,0.1829373257424063,0.19176695908025088
151255,0.19204396389376535,0.15426234566882294,0.07133661093755239,0.10319638971950637
151257,0.3122164102826803,0.35856090022760245,0.25314659732030353,0.19818117291322468
151258,0.11919782200619043,0.07928537796308394,0.08160668401256199,0.09913073521517857
151260,0.2153784332409667,0.1831217211428303,0.1914850528521185,0.1885298686629895
151261,0.6436481630042921,0.5433578154526586,0.44289084049212957,0.47416340010069685
151264,0.012821778034727737,0.03265334163001937,0.037879664147319414,0.06614592400987859
151265,0.11666200614203547,0.11941558789066911,0.07984186980007861,0.101670308290895
151266,0.11589767887192422,0.14171031543051993,0.06629678168853101,0.0706171655029954
151267,0.8475952950832408,0.830962188074751,0.53248425566759,0.48288368815687516
151268,0.14440881011774812,0.20170771589487962,0.15597756837458238,0.13606296403316798
151269,0.2851033375112031,0.25661008529782675,0.13967914850735003,0.14108823569468987
151270,0.4564663800913317,0.4914583829953369,0.2927112353982112,0.3215774872360598
151271,0.1517745942805457,0.12009592245825297,0.06738812153216232,0.07807196252254078
151273,0.2608068404486195,0.2634962324585664,0.18383421880420686,0.16964394663617677
151275,0.9675387686563277,0.8792925472853201,0.9812474311812392,0.8235678206327532
151277,0.13190838404827399,0.12916938975212425,0.08918920386273509,0.08834721123817915
151278,0.13464012325851124,0.17464060778853516,0.1775179970027487,0.14226140355139222
151280,0.2816354628157996,0.23492139931324918,0.2240931726552113,0.19782739199133312
151281,0.020214870783992898,0.00869887809605999,0.008548175059677861,-0.0027026616637913295
151282,0.018893896249254326,0.0917755955150295,0.02991978354877432,0.05295948105563421
151283,0.14699917026918174,0.09324149655355235,0.07766333746998277,0.031605933468526304
151284,0.05588603403743232,0.06822986267572484,0.0574661163413524,0.05508644788604953
151285,0.1946190428398159,0.14950019350470822,0.1635280197486384,0.10867374532292509
151286,0.3271611482669419,0.3013734331807306,0.2305142473459732,0.16256491478999435
151288,0.2964577481086522,0.3236133910193737,0.30191158989300654,0.33309307109331243
151293,0.07611358667269369,0.11293241267936796,0.05934514960234781,0.04411655429887645
151294,0.14957398563788776,0.12633333002684863,0.06714006931759947,0.09565953960058934
151295,0.639885900828609,0.680858512834928,0.612787960966134,0.5631402264774451
151296,0.3517529583571447,0.28214274795906136,0.271462573373509,0.2869511246859071
151297,0.18455794205284698,0.19364701631690184,0.1021067788633582,0.12996368099949426
151298,0.07861250035980685,0.0747199308219118,0.09086643230480779,0.05245560229446591
151302,0.4637869166508706,0.49431744872994066,0.32121199904259695,0.33978140537775703
151303,0.13116284177420906,0.09752696986315076,0.12081177502654558,0.11699164803460227
151304,0.11720665212125064,0.11065308335832322,0.0644690213160811,0.08394768539359912
151305,0.42113887147535223,0.4012737000055578,0.32235740344933006,0.2787483877256759
151306,0.3180607476099162,0.24880292759091638,0.10026711331018706,0.1188522363946019
151308,0.11402785130652002,0.13356134582565926,0.13624110644617388,0.1397987318294334
151310,0.14896923608664747,0.12475614980118442,0.12227874663562946,0.1475011428641282
151311,0.08509180886710632,0.062426638816041755,0.04331150049755984,0.04445301421035769
151314,0.20989335591987146,0.22229330031350553,0.11239782201589582,0.1442011684801289
151315,0.11919361812390386,0.11311997570502522,0.08379981533806327,0.060911434977708276
151316,0.11525680441961154,0.08842360462021973,0.06948290989968813,0.05727482891811962
151318,0.37783544947391473,0.3491488644417612,0.3098880915866179,0.33310484008758173
151321,0.827796185976278,0.8357064567459654,0.7503980668415342,0.6510867690826212
151322,0.8890519345439267,0.7699663398432048,0.7263730590835195,0.6339222639855855
151325,0.1737823855291486,0.1826376430377133,0.18840503072431136,0.20903121163318467
151327,0.7994249266201028,0.8237981524212802,0.6959655576841155,0.6705220729702627
151328,0.07742949531385332,0.10409005380680136,0.06859701245789648,0.06508845581417166
151329,0.13485983339537994,0.10757109771841086,0.09556388383386763,0.08802665688820516
151331,0.21773212195797426,0.15830370591015425,0.18915224396552988,0.17090915528108777
151334,0.2267711922140635,0.2225743218338493,0.2229711940736392,0.20510724823974527
151336,0.24148053591547747,0.14921904758725052,0.1292058443998285,0.16159192085724963
151337,0.10587076144715991,0.06559112210513457,0.11555985794064658,0.09426949647661174
151338,0.1980513405580936,0.1431136640079886,0.19295180586803912,0.21345381723300838
151339,0.4214603175235756,0.3929997638757906,0.22921530278372063,0.1854048058780105
151341,0.0695964300814492,0.0419002505005166,0.13222142097606077,0.1031617629874498
151342,0.14362537365435818,0.13543497914871627,0.07736315433595436,0.06923696234796901
151343,0.031206911413290156,0.037833793654994716,0.042284747025813536,0.00997488489756478
151344,0.07681006469053223,0.0886280192832731,0.10521174985151086,0.14140042820141396
151346,0.38784383320131854,0.4050565022774454,0.28641971494067175,0.2781232623315164
151348,0.4945756130447154,0.43887064445211255,0.17608100160493173,0.17011996665407308
151349,0.19668126653007142,0.1648507868316646,0.11509589737099453,0.11156035063523913
151350,0.9096331016304428,0.8171969937135993,0.476061617898749,0.5047529721949446
151354,0.2677357733862432,0.23484403920093283,0.1665284166151222,0.13786465611943743
151359,0.5004555397090574,0.4149907357246078,0.2421874603268122,0.33367721182063603
151361,0.2449393338039521,0.23288750250907822,0.08619787664130377,0.134145018090054
151362,0.35666889040871574,0.25236226692012675,0.3756228621898234,0.36339822812266753
151363,0.28370028979726214,0.32283057606969223,0.2742864427207878,0.27062128022619647
151365,0.3074226424084218,0.2456238717564766,0.16598132518439473,0.2088701864523076
